,C9,I9,C11,I11,C16,I16,I1,I2,I3,L1,L2,L3,B1,B2,B3
"MSTRG.10",7.184709,4.063987,4.984054,5.724157,1.581657,3.96464,2.739846,2.66841,2.546463,5.717725,6.38325,3.416953,1.587935,8.846023,1.22344
"MSTRG.100",4.516486,2.695654,2.747037,2.954312,3.566752,3.270768,1.343842,3.93757,1.072273,3.148774,0.93157,2.507655,3.033433,5.803679,6.480764
"MSTRG.1000",17.6007,26.212414,25.423447,26.080704,24.946035,25.941334,11.884362,14.56459,9.087697,9.065417,7.670074,6.673806,6.362329,4.957946,11.194334
"MSTRG.10000",49.409927,53.625519,57.711937,51.562325,45.616276,46.776001,15.890779,25.748243,13.86542,19.860533,16.129627,18.125116,12.822699,15.738292,18.672257
"MSTRG.10001",9.129395,9.821452,6.502999,7.195256,9.929322,9.838973,4.468236,7.572628,4.316594,5.62415,4.992279,4.38286,4.798348,6.215771,7.404413
"MSTRG.10004",1.162167,0.209264,0.776413,2.892389,1.823321,3.253088,0.038697,0.278599,0.10866,8.708555,3.479456,4.726562,0.065643,0.061834,0
"MSTRG.10006",5.433485,6.02555,4.539703,4.658873,6.743782,7.320634,2.485938,2.744438,1.884368,7.798788,7.599078,4.319844,9.945018,10.39686,19.175596
"MSTRG.10007",20.628864,22.689569,19.823847,21.929583,19.69516,22.337503,15.603691,20.153557,15.245467,8.237323,7.487044,7.087878,10.380807,12.319452,17.999529
"MSTRG.10008",14.200539,16.286793,10.599118,12.575506,16.733749,17.971313,5.747467,11.645291,6.448598,25.289055,27.078266,19.386719,1.739306,2.4343,2.857803
"MSTRG.10009",2.113691,2.765849,2.438801,2.567863,1.908981,1.52754,2.329673,2.303326,2.38772,2.068147,1.938259,2.091182,3.10742,3.515909,3.577056
"MSTRG.1001",8.692184,12.068165,13.201076,12.864755,14.321117,15.202474,4.61518,5.447511,3.540735,0.270283,0.450427,0.088318,5.06175,3.789404,8.111524
"MSTRG.10010",10.850897,12.741441,10.299665,11.166908,10.701758,10.664474,4.752088,7.135986,5.026771,24.542702,28.284834,21.820688,3.810723,3.761814,5.592792
"MSTRG.10012",0,0.104295,0,0.025639,0.188959,0.094236,0.232689,0.172188,0.198234,0.074791,0,0.029177,12.466688,11.774227,30.612589
"MSTRG.10014",7.237457,7.056231,7.292742,10.287251,8.62805,11.606437,2.21926,2.218498,2.213861,12.865079,12.411315,8.937099,6.932759,8.496961,9.676643
"MSTRG.10015",17.411772,22.739806,19.182774,20.692057,15.108752,15.972153,12.911171,23.787775,13.330564,4.546821,4.021811,3.644188,10.089372,10.881159,15.193373
"MSTRG.10016",10.000741,10.279258,9.662514,10.56566,11.880514,7.116707,6.194684,10.521954,3.624907,6.117786,5.648185,5.530963,7.441734,9.915025,9.723003
"MSTRG.10018",38.936357,38.694545,37.525353,42.801042,39.197283,44.344294,29.690873,48.306893,29.344715,23.025315,24.720856,20.543944,19.977436,23.917109,38.483521
"MSTRG.1002",4.155085,6.232333,5.407198,5.816691,4.393008,5.039576,0.844803,1.669327,0.598363,1.930756,2.183793,1.948954,0.505857,0.420371,0.644167
"MSTRG.10020",1.842023,2.36939,2.284005,2.642913,0.758772,1.133509,1.449626,1.775028,1.297506,0.085082,0.109345,0.093634,3.199204,3.530754,7.212579
"MSTRG.10023",3.922328,4.461287,3.50564,3.268708,3.20543,3.549116,2.585928,3.285211,2.387437,6.162299,6.090211,5.262183,2.725075,3.454958,4.070202
"MSTRG.10024",22.836343,24.273377,22.779425,24.716026,27.416451,26.216961,9.611212,19.738203,9.149694,1.406406,1.681704,1.428555,4.604422,6.349921,8.784435
"MSTRG.10027",1.694617,1.813308,1.703162,2.021725,3.832277,3.475223,5.614927,11.964573,7.362892,0.80882,1.091653,1.757946,8.218474,8.779965,11.288143
"MSTRG.10030",0.001939,0,0.000887,0,0,0,0,0,0,0.000468,0.003828,0.00136,3.629322,6.803136,2.588123
"MSTRG.10031",0.015223,0.013454,0.010584,0.003783,0.015883,0.02514,0.000298,0.003542,0,0,0,0,3.744535,7.536137,3.050943
"MSTRG.10032",0.001118,0.003164,0,0.004245,0.001222,0,0,0,0,0,0,0,2.994519,5.813789,2.509158
"MSTRG.10033",0.039564,0.033337,0.01308,0.008707,0.010387,0.010093,0.000384,0.000474,0.00181,0,0.001559,0,3.091621,6.336747,2.650617
"MSTRG.10034",9.539953,11.911747,6.964844,8.619984,6.344215,8.025346,2.084593,2.779394,1.803929,10.910568,14.531139,10.959412,6.578161,9.789624,10.303041
"MSTRG.10035",0.138515,0.087885,0.055859,0.026701,0.216143,0.106983,0.260237,0.178754,0.127968,0.019785,0.043549,0.047865,19.656468,30.002278,43.272274
"MSTRG.10036",0.007309,0.005845,0.001816,0.001915,0,0.00089,0,0.000279,0,0,0,0,6.236755,12.204019,5.29706
"MSTRG.10037",0.011718,0,0,0.002476,0,0,0,0,0,0.007319,0,0,6.345113,10.726655,4.522746
"MSTRG.10038",0.003092,0.004353,0.000784,0,0,0,0,0,0,0.000414,0.002997,4e-04,3.540668,6.450738,2.553149
"MSTRG.10039",0.010043,0.019789,0.012653,0.002659,0.01304,0.024465,0.000489,0.003808,0,0,0,0,3.67713,7.288111,2.850667
"MSTRG.1004",8.017534,9.06849,6.933699,8.018803,4.913784,5.322776,3.459656,6.870072,3.002438,2.286581,2.464922,1.733823,2.674837,1.957887,2.864601
"MSTRG.10040",0.037406,0.037223,0.016595,0.004594,0.003672,0.013097,0,0,0.002972,0,0.005056,0,3.0982,6.472025,2.627389
"MSTRG.10041",0.034187,0.020804,0.013869,0.004282,0.000527,0.005284,0.001449,0,0,0,0,0,3.248801,6.381327,2.629724
"MSTRG.10042",0.032513,0.023529,0.021466,0.014675,0.017616,0.007608,0.002645,0.013331,0.002385,0,0,0,4.90907,11.0617,4.846597
"MSTRG.10043",0.023506,0.016875,0.012006,0.008396,0.012002,0.01538,0.000533,0.002135,0.000251,0,0.000784,0,4.486417,9.279761,3.722706
"MSTRG.10044",0.152887,0.020594,0.005077,0,0.000644,0,0,0,0.005832,0,0,0,4.80877,8.769679,3.727647
"MSTRG.10045",0.07236,0.015809,0.020282,0.007387,0.066454,0.011205,0.006737,0,0.007854,0,0,0,4.552238,9.470102,4.115845
"MSTRG.10046",0,0.124864,0.048817,0,0,0.126316,0.039184,0,0.017186,0,0,0,3.01775,4.49243,2.426
"MSTRG.10047",0.000762,0.016423,0.009477,0.009048,0.029822,0.001183,0,0,0,0.00762,0.013075,0.025074,3.308919,6.950854,2.816408
"MSTRG.10048",0.008891,0.037596,0.00527,0,0,0.012161,0,0,0,0,0.021607,0.032627,2.660189,5.218477,2.059082
"MSTRG.10049",0,0.032181,0,0,0,0.010171,0,0,0,11.954344,9.785199,6.781812,0.970826,2.443624,1.238217
"MSTRG.1005",32.843062,40.409711,29.669208,30.36337,27.624761,28.73719,8.60414,15.288502,7.689592,4.266711,5.320166,4.78875,6.36963,7.14925,9.418526
"MSTRG.10050",2.766138,3.31436,3.219744,3.786477,1.834494,1.834778,1.411173,2.441245,1.228497,2.311758,1.876139,1.696191,3.672616,5.431364,5.066042
"MSTRG.10056",2.22202,2.237727,1.764859,2.423676,4.04023,5.667432,0.336543,0.423477,0.368454,0.154459,0.125649,0.196443,5.971559,7.991195,8.008422
"MSTRG.1006",106.773888,134.234848,132.676514,137.161072,85.770958,82.941399,90.498695,79.021484,72.014771,40.39566,42.722019,37.941547,39.629398,59.260811,67.229073
"MSTRG.10060",0.128025,0.155501,0.108478,0.102908,0.117758,0.24599,0.107622,0.152183,0.12686,0.018108,0,0.018179,2.238925,1.914938,2.2914
"MSTRG.10062",21.338692,21.021605,22.773649,23.304831,14.257343,12.577387,8.667283,11.511814,7.171845,12.386094,12.228703,12.927617,10.507266,12.699336,15.773781
"MSTRG.10064",55.484924,58.82975,53.724796,56.144714,47.153141,48.505604,27.826801,33.300266,21.771875,87.347908,89.598618,100.371063,29.058779,30.156675,46.121437
"MSTRG.10065",52.90295,59.244606,67.772713,64.897156,69.897301,66.952179,70.519249,90.459221,53.62812,155.545517,165.307373,205.663666,74.242798,79.939445,149.703903
"MSTRG.10066",12.236941,12.658469,8.90422,9.963115,13.799423,12.50461,5.913662,7.395049,5.226312,8.253137,9.04168,4.983194,5.182242,11.491865,10.667978
"MSTRG.1007",5.139148,5.018215,5.261338,7.257639,6.892378,6.856437,4.295639,8.61367,3.333476,40.265179,26.873005,27.281342,0.224388,0,0.239282
"MSTRG.10071",0.203772,0.219691,0.046981,0.15718,0.143236,0.171779,0.024106,0.045521,0.02497,1.818487,2.052499,1.831907,0.405927,0.771836,0.485879
"MSTRG.10072",0.56098,0.541037,0.590427,0.897746,0.522502,1.075205,0.807657,0.779233,0.730718,1.332021,1.206137,1.242302,11.260067,15.014952,11.648095
"MSTRG.10073",6.375683,7.112604,5.295569,5.705228,6.535358,6.446532,3.595843,5.068542,3.568325,8.034973,8.647305,7.580823,4.026936,4.759691,6.106484
"MSTRG.10077",0.905984,0.933997,0.304425,0.94719,0.864918,0.758536,0.348098,0.330414,0.272535,6.045228,6.394207,6.037838,4.363486,5.559584,8.8625
"MSTRG.10079",19.489072,21.227463,17.999612,19.182799,21.689347,24.546859,14.988096,20.128285,12.972113,12.85157,14.60464,13.975595,29.583591,49.222193,46.203974
"MSTRG.1008",18.11018,25.234484,23.442927,25.682032,24.28927,25.228768,8.473716,13.577028,8.072157,9.71354,9.886686,8.116793,16.0052,10.034665,21.933608
"MSTRG.10080",4.742859,5.637197,3.937536,4.124195,9.196849,9.576683,5.403992,7.945289,4.575791,0.101433,0.396959,0.340304,6.484433,5.975325,11.006563
"MSTRG.10081",5.456695,6.810905,5.400671,5.767787,4.932078,4.813116,4.129301,5.087211,2.654974,3.155321,4.845359,2.565153,3.673109,7.46242,5.600821
"MSTRG.10083",2.950671,3.356319,2.521677,2.498229,2.769717,3.130247,0.997875,1.111762,0.671146,1.196005,1.306276,1.176964,7.106189,8.10072,7.233304
"MSTRG.10085",7.448602,8.544941,6.443384,6.614906,9.918042,11.607067,7.389844,12.110832,8.62737,11.787985,11.226305,8.271179,12.019124,14.187316,16.468678
"MSTRG.10090",22.046644,21.621689,17.6172,22.115887,20.287489,21.275933,19.026535,35.938709,20.004409,7.894977,9.163878,7.470182,9.115222,14.173495,19.307556
"MSTRG.10092",13.312958,13.636361,12.826544,13.871748,11.464889,12.16505,13.824508,14.777496,12.178551,7.821842,7.910892,6.711327,8.264412,12.500918,14.602247
"MSTRG.10096",12.444789,13.423131,9.266565,11.275301,8.949766,10.344888,3.986631,6.42795,4.735152,7.760817,9.262083,8.864385,17.51992,22.523555,29.586342
"MSTRG.10098",45.178038,47.238658,48.39927,48.444822,42.251392,44.244157,31.489582,43.892142,30.723482,19.340138,17.404618,16.580116,25.957533,31.026044,40.117334
"MSTRG.10099",1.183753,1.106738,0.589369,1.441416,1.506956,1.921509,0.431856,0.992881,0.533736,0.769276,0.753619,0.651539,19.022987,13.397947,32.373085
"MSTRG.10104",17.854077,18.776388,12.539542,13.556688,35.959635,35.882457,39.956119,60.822307,34.117547,0,0,0,0.107852,0.219158,0.12157
"MSTRG.10105",3.156988,2.74356,1.125665,1.750608,6.962177,5.72429,0.86601,1.644101,1.119319,0,0,0,0.043374,0.075518,0.110596
"MSTRG.1011",11.578681,15.957619,14.068345,14.821434,12.315716,13.603988,4.671225,5.2414,4.010456,4.426109,4.254236,4.085074,19.718522,11.833375,23.590622
"MSTRG.10110",1.86263,1.834603,1.355843,1.827876,1.928723,2.096924,2.13979,3.066251,2.558981,5.243335,4.371338,2.793641,3.612004,3.882107,5.191788
"MSTRG.10112",52.164314,59.262436,61.242652,65.003189,62.673191,65.117722,36.982677,68.576149,34.668808,19.359434,20.309466,17.160137,63.069756,78.491013,106.565575
"MSTRG.10115",1.556128,1.739574,1.658663,1.927503,1.570791,1.514345,0.431455,0.835751,0.392772,17.294171,24.396515,23.161883,0.369415,0.700151,0.326984
"MSTRG.10116",36.745491,35.99363,37.063986,40.719839,27.478629,25.035036,25.031486,33.587261,17.104461,12.346805,13.082624,12.473979,11.656895,15.373084,19.100174
"MSTRG.10117",9.110794,9.824203,8.969553,11.101269,11.248946,12.524365,31.938615,44.770455,30.122525,3.797283,3.980062,3.150155,1.72083,2.676669,2.801605
"MSTRG.10118",4.387225,4.942545,4.03344,4.647438,4.819676,4.551317,3.037923,3.971574,2.342733,0.817019,1.100442,0.849639,1.602535,1.28814,1.861362
"MSTRG.10119",12.993525,13.305323,19.970367,18.970277,27.759491,27.238798,89.203353,95.30626,82.795608,0.133608,0.157909,0.169877,99.974433,92.436218,197.493018
"MSTRG.1012",18.454112,23.864551,22.928058,24.572272,22.071861,29.202435,17.570148,37.636422,15.804805,2.231453,2.303144,1.625839,3.821534,3.32838,5.339929
"MSTRG.10122",47.414232,52.109712,50.973843,55.157566,44.425592,43.962216,42.531007,76.907475,34.506579,14.875331,10.376109,12.847377,11.329265,9.869666,15.96632
"MSTRG.10123",0.523934,0.680226,0.523078,1.196557,1.789222,1.587025,0.237096,0.900052,0.167623,0,0,0.014526,1.720838,5.355227,3.269029
"MSTRG.10129",0.85894,1.352689,1.034138,1.357466,1.478023,2.258535,0.582522,0.753758,0.402486,10.485024,20.552242,5.588484,1.770257,1.942115,2.808347
"MSTRG.1013",61.893804,72.938405,80.822859,87.406084,101.496217,150.826561,68.930183,152.340105,72.837011,0.037998,0.027083,0.026457,1.186407,1.256524,1.019571
"MSTRG.10130",20.579286,27.400416,25.9613,25.365667,31.692872,31.2368,17.054527,26.135414,16.669952,0.155444,0.069368,0.047469,39.43371,39.240162,67.755627
"MSTRG.10131",70.658012,99.697784,70.445038,71.825706,79.113708,78.100502,22.021732,32.405933,18.782465,3.503984,4.812865,3.526952,23.689831,17.574913,20.030825
"MSTRG.10132",35.807474,53.449391,31.247804,37.039671,35.829996,38.762491,2.23842,2.502991,1.341094,0.015198,0.025224,0.004449,53.791009,32.409443,112.635429
"MSTRG.10133",15.336867,18.05599,17.350143,17.072609,19.905355,19.82345,10.930673,24.465675,15.158554,6.616292,5.636197,4.349879,25.735465,26.087753,30.788401
"MSTRG.10135",13.047468,19.172698,11.17365,11.684963,17.725834,19.313924,0.851392,1.652766,0.699886,0,0,0,30.216035,31.13362,31.456082
"MSTRG.10136",432.45575,470.603607,428.356079,433.713745,372.459656,387.546112,400.742126,392.62677,323.102722,70.515244,69.550468,69.974731,99.201752,114.813629,168.785858
"MSTRG.10137",37.561962,53.355354,49.328522,49.118271,41.963051,43.594341,16.824522,17.847891,12.907085,10.239535,9.477559,10.813022,7.754833,7.226124,13.820117
"MSTRG.10138",0,0.013447,0,0.004965,0,0.01553,0.025721,0,0,0.05454,0.085119,0.043947,25.385461,21.520038,24.922358
"MSTRG.10139",13.9003,15.618203,17.02467,17.679081,13.77002,13.164261,4.908887,4.006654,4.611145,9.469649,7.981549,8.31779,3.887813,5.38447,6.296665
"MSTRG.1014",3.215366,4.061414,3.217241,2.532417,1.406202,1.499635,0.865088,0.778772,0.652738,0.222443,0.213536,0.106168,0.236947,0.213733,0.368689
"MSTRG.10140",5.942729,0,0,0,13.479078,0,2.223491,5.946681,2.741238,1.275247,1.691503,1.39496,6.125167,3.955789,5.778532
"MSTRG.10141",0.120709,0.175275,0.09242,0.171677,0.187769,0.15888,0.119061,0.458158,0.170808,0,0.010145,0.026521,1.076694,1.795419,2.009742
"MSTRG.10143",43.319106,51.518374,37.063128,36.30679,43.020233,46.590106,14.771637,22.853573,14.07889,15.240862,17.475526,12.099553,14.237845,14.13214,17.012544
"MSTRG.10144",13.931623,14.979932,9.922375,12.78229,15.972143,14.644345,8.017826,13.200034,7.985142,8.939627,11.589848,8.964804,22.736162,23.571762,33.729113
"MSTRG.10145",16.71177,26.566656,20.8735,21.354689,20.020242,21.884922,12.847549,21.096004,12.668827,16.699233,13.153269,14.363244,11.57457,11.448166,15.696867
"MSTRG.10146",76.428475,84.073482,87.646561,82.411215,58.453283,61.794313,35.775197,50.716325,31.818692,76.087255,67.491664,79.450986,31.127973,35.778601,39.929348
"MSTRG.10147",7.146044,9.515563,8.956678,9.83374,19.717794,21.20804,3.498596,4.504358,3.422034,0.19249,0.40198,0.166088,13.724836,9.605432,14.437119
"MSTRG.10149",2.21983,2.478973,2.467088,3.292028,2.957821,2.993171,0.643246,0.786408,0.486919,0.300581,0.431156,0.243425,5.677382,4.569618,7.137851
"MSTRG.1015",1.195199,1.732369,3.171188,4.161475,2.624267,3.527402,2.68156,7.045119,2.671219,0.638889,0.823522,0.76819,1.523753,1.134604,1.551661
"MSTRG.10150",1.651858,1.976254,0.854418,1.59678,1.697232,1.908002,0.281385,0.90152,0.322681,0.491873,0.339463,0.245949,6.607719,5.474081,9.240536
"MSTRG.10151",6.638551,9.079317,10.280437,15.001174,7.246499,10.389553,4.043509,3.51954,3.540144,0.317285,0.404004,0.313069,2.993052,2.288937,3.225757
"MSTRG.10152",1.714469,2.818495,1.471788,1.796288,0.642392,0.527295,0.542734,0.569215,0.683228,1.353622,1.833561,1.444228,0.645208,0.460075,1.183648
"MSTRG.10153",3.330215,4.552609,3.079797,3.940224,5.959596,4.29471,0.80505,1.164774,0.321745,0.369962,0.283082,0.230622,26.595021,16.887784,32.152427
"MSTRG.10154",0.049489,0.108347,0,0.061911,0.246308,0.084839,0,0.057504,0,0.035487,0.022446,0,2.084864,2.088408,1.301448
"MSTRG.10155",1.603419,2.806931,2.203787,2.159952,2.08802,1.925539,0.186335,0.253986,0.149637,3.163381,1.725376,2.37381,1.593965,1.020212,2.579033
"MSTRG.10156",6.46489,7.769247,6.837906,9.720642,3.881226,4.082801,2.381119,4.911174,2.024227,66.610365,72.257949,50.528343,7.935696,10.396504,8.978141
"MSTRG.10157",3.79426,4.31247,3.816553,4.285945,2.06656,2.639489,0.748119,1.605982,0.923328,2.927553,3.759559,2.952956,2.067811,2.566217,3.05946
"MSTRG.1016",15.099832,19.053363,17.219296,16.393049,11.072443,11.425949,4.370907,9.022886,3.721121,2.943778,3.244556,2.923627,16.553412,12.787033,20.982663
"MSTRG.10162",0,0,0,0,0.059323,0.143718,0.087727,0,0.052886,0,0,0,5.335023,4.267711,6.451595
"MSTRG.10164",37.815386,43.250754,40.223161,39.412218,28.416978,29.846488,17.98599,26.323675,18.81489,11.919879,13.239281,12.330491,37.712056,41.950188,55.372577
"MSTRG.10166",66.399562,81.97229,76.720599,76.102672,44.577545,45.494295,9.898596,14.324605,12.307179,86.119738,102.972043,97.77795,0,0,0
"MSTRG.10167",1.246544,1.199668,1.147997,1.147219,1.879755,2.457971,0.511925,0.64663,0.571594,1.006721,1.464048,0.993388,13.750037,13.712681,12.308867
"MSTRG.10169",58.422146,70.087392,54.562717,56.525604,41.98304,42.846094,15.569771,24.764502,13.471882,2.401935,1.572877,1.480669,6.626653,3.806017,5.810527
"MSTRG.1017",30.269487,40.143216,32.307467,32.770014,37.973833,38.66813,13.169789,19.220538,10.015841,0.025154,0.048312,0.108366,21.151076,18.483305,23.403557
"MSTRG.10171",7.06158,8.419287,5.893566,7.031062,7.525793,7.011441,2.580949,5.335008,2.682205,4.975061,5.314636,4.207005,17.826045,17.142253,23.168741
"MSTRG.10172",1.934873,1.649767,1.219535,1.361143,1.719476,2.482446,0.238804,0.801692,0.235938,1.661135,1.441411,0.980046,2.822002,5.07003,2.642501
"MSTRG.10173",14.47412,15.339172,17.217785,19.136473,16.438396,16.417974,12.580544,16.691345,11.909216,4.969792,5.102317,4.501962,4.702423,4.681724,6.232969
"MSTRG.10174",5.780252,8.406411,6.698601,8.079265,9.065684,9.071817,4.428674,6.19707,4.616125,5.378673,5.626388,4.676264,10.654465,10.30162,15.291231
"MSTRG.10175",6.009079,6.62448,6.672374,7.484597,4.213674,4.27322,1.311793,4.641735,1.444098,2.226268,2.025934,2.231183,2.114535,2.382549,2.328472
"MSTRG.10176",66.533735,91.88506,75.745281,77.852461,67.545856,76.941867,34.658098,49.181932,30.555979,24.866383,34.995429,22.737034,112.573783,127.419587,147.493367
"MSTRG.10177",1.908126,0.82174,1.589552,1.807358,0.704247,1.109347,0.208007,0.396308,0.526835,6.116205,5.348244,4.586359,1.785573,1.201541,3.152348
"MSTRG.10178",52.44139,57.828578,51.317534,54.016062,52.093142,56.173214,36.958119,57.757684,34.645814,26.216338,24.924677,23.56275,37.921907,43.624687,54.249964
"MSTRG.10180",0.271284,0.219364,0.091085,0.46056,0,0.117496,0.092808,0.132123,0.145001,0.138927,0.196339,0.238551,2.310078,2.369462,1.409058
"MSTRG.10181",0.076089,0.183572,0.023628,0.088847,0,0.043732,0.01513,0.081051,0.05871,0,0,0.025037,10.809493,10.294471,13.859205
"MSTRG.10182",46.569213,56.728048,40.881618,42.656382,43.195986,46.024453,11.757343,13.394137,11.049467,18.015161,19.972663,18.923247,18.266571,19.880059,23.730569
"MSTRG.10183",4.432481,4.54853,2.233084,2.91873,2.546327,3.916236,0.353186,1.027775,0.422983,2.05127,3.048569,2.015818,2.678109,2.741966,2.100933
"MSTRG.10184",0.208656,0.250087,0.295682,0.231752,0.175789,0.180977,0.106886,0.033692,0.15303,0,0,0,62.579174,47.809078,88.284515
"MSTRG.10185",2.010479,2.341047,1.768357,2.299912,1.743292,1.937784,1.38169,1.566728,1.485207,2.595795,2.937814,2.183565,5.96147,12.228408,9.868085
"MSTRG.10186",1.747563,2.450515,1.92812,2.421593,2.250364,2.596934,1.337023,1.773323,1.258175,1.687684,1.651346,1.393673,3.571274,3.493655,4.277267
"MSTRG.10187",32.809238,42.908366,32.291269,34.428505,22.652493,22.162314,10.592917,14.711989,9.737299,16.931499,15.140016,12.301663,28.238855,26.507068,38.775212
"MSTRG.10188",2.397598,1.748975,2.393134,1.843003,1.050574,1.550063,3.291082,1.630405,2.249491,0,0,0,1.626338,0.763267,1.243812
"MSTRG.10189",27.619892,36.032055,35.743137,35.806297,31.337313,34.072014,14.589639,19.082844,13.488539,5.544569,6.352818,5.004023,10.268871,9.035269,13.968762
"MSTRG.10190",13.898821,17.134392,11.671421,13.504276,14.124193,17.253571,7.287617,10.660957,7.418302,3.766629,4.330182,3.168605,17.654538,24.632599,25.934097
"MSTRG.10191",1.401479,1.631224,0.85172,1.604489,1.713621,2.206072,0.531886,0.885154,0.41609,7.402079,9.282239,8.186279,19.589126,16.164464,28.660212
"MSTRG.10192",12.868741,13.526296,13.560315,14.956824,12.436641,13.543164,12.734601,18.046946,12.045604,11.781131,10.328016,10.353978,10.27226,13.657254,18.202263
"MSTRG.10193",2.830811,2.961649,2.753807,3.636589,1.610276,2.37493,0.834076,1.028056,0.805619,3.266963,2.417678,2.319503,1.068771,1.05719,1.982487
"MSTRG.10194",23.612267,27.00202,22.422018,25.730007,20.208656,20.389595,6.697748,9.745582,5.866961,6.964635,6.896837,6.098985,6.470839,7.263069,8.711482
"MSTRG.10196",6.544255,8.076832,7.596722,8.592449,6.483787,7.621679,2.53412,3.946822,2.427456,6.284739,4.573762,5.757154,2.413569,3.008076,3.579333
"MSTRG.10199",46.159016,56.127983,56.558392,60.817326,41.734573,44.421455,19.902517,28.348179,16.505505,19.109844,21.27928,16.651608,25.628813,20.973822,35.403984
"MSTRG.102",2050.853699,883.849335,673.721222,585.533554,865.368927,1013.521759,271.053192,1007.338806,235.018249,66.200649,33.934364,25.682404,13575.222656,7234.835693,4403.127808
"MSTRG.1020",10.757959,12.530079,11.055198,12.517931,12.658349,12.749404,3.784319,9.603684,4.165802,7.80084,8.829643,5.953815,13.168353,11.713913,16.043108
"MSTRG.10200",2.193745,2.306903,1.746531,2.492865,2.137636,2.641204,0.399079,1.388273,0.914805,1.753883,1.565115,1.323679,1.414295,1.154888,2.08984
"MSTRG.10201",3.588223,2.675333,3.261859,3.280912,7.674923,8.650345,2.629274,5.464429,2.54409,2.036668,1.893506,1.338466,1.218632,0.988128,1.998182
"MSTRG.10202",68.396748,88.066875,77.047828,83.605891,79.746643,81.592808,41.868163,59.977401,35.390522,26.689173,27.153325,21.257797,54.971155,52.01143,70.287997
"MSTRG.10205",64.411552,71.231407,80.194809,87.833885,86.91571,86.059151,74.1213,96.690529,55.814938,21.967081,20.517134,17.64852,446.447021,499.487518,654.95697
"MSTRG.10207",6.267073,7.891008,6.45499,7.021798,7.224717,7.118641,2.066361,4.967541,2.293653,4.879103,5.760033,4.479339,10.234463,10.124396,14.311055
"MSTRG.10208",7.4419,9.028233,5.783375,6.860801,8.957314,9.027013,3.356289,5.612839,3.898304,6.227138,6.960248,5.650242,9.946916,10.504129,11.502725
"MSTRG.10209",5.340779,8.370597,7.196967,7.496323,6.40302,6.690949,2.27734,3.073645,2.544387,2.368935,2.806355,2.326651,8.22957,6.588918,10.976313
"MSTRG.10210",18.181788,21.85489,17.119548,21.220557,16.605535,15.985139,6.470761,13.903121,5.701625,9.906448,8.52795,7.42517,12.581461,12.705349,15.979826
"MSTRG.10211",11.610661,15.996918,11.195936,13.029524,5.934964,5.584899,1.351234,2.996543,0.932749,3.107973,5.21224,2.898228,3.9407,3.927961,5.036944
"MSTRG.10212",4.313255,5.426412,4.292231,5.117008,4.807019,5.702005,2.743369,4.703524,2.843811,3.093366,2.921414,2.77712,5.662738,6.6265,7.499026
"MSTRG.10213",33.266167,34.432716,35.703819,35.778149,27.427965,31.160885,17.886448,22.832825,15.060801,22.002247,19.018454,20.126827,19.68502,25.834499,31.157312
"MSTRG.10214",26.333441,34.492502,29.417624,32.554834,24.642926,23.730087,16.499967,27.472098,17.554297,8.990206,9.516936,7.25549,14.918502,13.618004,19.305472
"MSTRG.10217",1.621461,2.323716,1.864495,2.035109,2.296998,2.528089,0.940441,1.977494,0.806105,0.548925,0.85421,0.69417,9.776443,10.62852,12.882706
"MSTRG.10218",6.040329,7.2851,6.276828,6.721298,6.412962,8.059764,3.2271,5.699282,3.644866,6.07857,8.107887,7.07051,13.18659,13.319561,14.961174
"MSTRG.10219",3.618668,5.603384,4.623508,4.549423,6.404261,7.035671,2.760474,4.089841,1.951482,0,0,0,7.893994,4.511916,11.447463
"MSTRG.10221",280.314514,319.69104,267.243591,266.86438,219.232315,213.108017,229.429836,291.498505,182.73381,2.540757,2.952634,2.602111,37.031326,44.635068,84.975651
"MSTRG.10222",3.108204,3.869756,4.54464,6.383295,7.028633,7.969216,3.124336,4.585649,3.302803,6.611891,5.943026,6.915609,1.300298,0.546472,2.304438
"MSTRG.10223",18.642033,22.162905,14.297975,16.067601,21.468383,23.93098,8.577768,14.084952,9.389984,6.469483,6.062399,5.232838,13.805712,16.079359,20.987051
"MSTRG.10224",15.281313,19.69219,17.106068,18.136225,14.145989,16.090681,7.423662,13.18201,8.728487,3.025342,3.308207,3.113476,9.893367,9.986334,13.083462
"MSTRG.10225",3.954471,3.82715,3.143461,4.44072,4.695096,3.776678,2.280295,4.113795,2.135964,1.014706,0.367137,0.631757,0.519963,1.078795,1.206084
"MSTRG.10226",0.886721,1.323655,0.973786,0.831571,3.204175,2.961851,1.966621,3.446674,2.076752,0.308824,0.357794,0.205845,23.622223,25.208306,27.746982
"MSTRG.10230",4.276798,4.937163,3.839298,4.782531,4.705635,5.906012,1.131138,2.186574,1.226643,0.752288,1.218121,0.855972,10.127585,11.2707,9.958518
"MSTRG.10231",6.951691,7.764581,8.466088,7.732994,7.371559,8.367514,3.603799,5.369439,2.899292,0.422673,1.217006,0.541488,9.18219,6.968219,12.725616
"MSTRG.10232",37.144791,42.639488,42.580772,47.828568,28.252205,28.65243,14.323231,19.889656,12.745752,14.451532,13.461258,12.56482,17.896656,17.553139,28.61697
"MSTRG.10233",88.559923,91.968506,67.413684,74.369477,67.61152,72.039746,25.830839,25.82147,18.416442,25.418294,29.857655,22.464091,15.924389,15.510414,23.505874
