,C9,I9,C11,I11,C16,I16,I1,I2,I3,L1,L2,L3,B1,B2,B3
"MSTRG.309",21.592898,23.034676,22.391705,22.428911,16.024949,18.513197,11.369273,14.259455,9.744313,9.807254,8.665107,8.520969,23.329463,20.917107,36.866856
"MSTRG.30907",65.876226,65.061141,62.087837,64.686274,35.811625,30.04396,135.440811,75.931457,105.566793,118.903104,84.519934,77.72893,70.926793,128.041817,99.161812
"MSTRG.30910",17.317102,21.707754,18.453447,22.746752,27.851879,33.477482,4.295011,5.365511,3.319546,0,0.024146,0.052629,18.918959,10.344313,24.439802
"MSTRG.30913",7.503929,8.033471,6.788046,7.204864,8.161177,5.550028,2.310968,3.030415,1.887373,2.323976,2.469934,2.685513,3.615675,5.546934,6.915185
"MSTRG.30914",18.853399,27.312439,25.306319,26.249494,23.351975,24.722707,8.896775,10.988805,6.986976,21.757917,26.17294,25.279053,3.403779,1.871211,4.250914
"MSTRG.30915",10.677252,12.429634,11.16715,11.967289,7.684603,9.019436,3.395146,4.749556,3.764345,2.871077,2.310335,1.596954,7.095129,6.302542,9.495271
"MSTRG.30917",2.178728,3.871407,1.853169,2.632394,2.677072,2.694208,0.083383,0.806102,0.021541,0,0,0,13.287861,2.784451,9.064825
"MSTRG.30919",65.889635,95.993851,57.112381,62.687414,92.58607,100.160047,35.586091,68.339123,38.874503,0.052552,0.02492,0.044789,286.192478,198.285077,393.502223
"MSTRG.30920",0,0,0,0,0,0.052553,0.018686,0.073047,0.017612,66.940301,68.851847,69.594996,0,0.02434,0.012808
"MSTRG.30923",5.518059,7.639479,2.750443,3.939353,2.31894,3.180053,0.222804,0.656729,0.348322,2.758366,2.786257,2.315735,3.086109,3.197061,5.332774
"MSTRG.30925",10.959572,12.713188,11.711904,10.438786,8.340803,8.371321,6.991612,10.753991,5.744377,14.230147,12.950109,12.699929,4.929111,7.772235,9.561721
"MSTRG.30926",0.712206,0.85961,0.717275,0.929097,0.677333,0.683844,0.144923,0.115186,0.098469,0.289605,0.564978,0.410876,1.152528,1.954286,1.363382
"MSTRG.30930",1.168592,1.333981,1.321226,1.388809,2.1428,2.706404,1.645307,4.320069,2.894875,1.711042,1.623109,1.907164,2.715298,3.440784,4.208097
"MSTRG.30931",0.210362,0,0.024296,0,0,0,0,0,0,1.234098,4.531411,1.708033,0.014747,0.212114,0.144978
"MSTRG.30933",0.014094,0.121097,0,0,0,0,0,0,0,8.006914,7.000584,9.940223,0.03397,0.068158,0.006632
"MSTRG.30936",1.376073,1.406667,0.804149,0.992148,2.310317,2.131493,2.937381,5.142877,3.575393,0,0,0,1.410462,2.242017,1.327972
"MSTRG.30940",0.013795,0,0,0.013101,0,0.069896,0,0,0.002885,3.96124,1.544645,3.164031,0.122769,0.29363,0
"MSTRG.30948",2.624296,3.251549,2.098026,2.735566,2.557454,3.07977,0.997526,1.30747,0.662712,9.942795,12.043759,10.376515,4.112366,3.244159,6.009782
"MSTRG.30951",0.389007,0.200606,0.065666,0.215091,0,0,0.071739,0,0,0,0.077169,0.023055,1.752288,5.070286,1.874842
"MSTRG.30957",9.791409,18.148434,17.212545,15.670736,15.630148,11.859311,6.043788,3.991893,4.371224,15.372494,8.764393,3.468915,1.965197,1.237488,1.134403
"MSTRG.30958",13.036621,20.526886,11.969689,12.295198,13.231354,13.91808,10.857958,13.460991,8.712122,31.725416,23.276297,13.018454,4.978088,4.41313,5.380593
"MSTRG.3096",0.175599,0.503252,0.03635,0,0,0,0,0,0,2366.66748,2523.051758,1913.970947,0.188661,0.537033,0.077509
"MSTRG.30961",14.735833,21.251714,13.614891,20.399874,27.746048,27.24066,5.76389,9.239983,5.319302,8.624384,11.964086,7.742246,22.269722,27.911992,32.92507
"MSTRG.30963",0.745176,0.448871,0.68683,0.643182,0.149325,0.289374,0.207663,0.446055,0.181691,0.541012,0.455722,0.333263,1.20646,2.906147,1.344221
"MSTRG.30964",0.733335,1.082741,4.13906,3.27107,1.26841,1.741793,2.60647,3.628211,2.57734,0.08286,0.123011,0,0.094574,0.2789,0.175682
"MSTRG.30965",526.179484,611.524032,539.535298,570.901054,1594.964492,1549.188922,825.482637,905.912979,685.460859,15.340922,16.707222,13.449959,75.647394,87.508477,86.976378
"MSTRG.30967",6.078106,6.888666,5.928396,6.68178,6.102711,6.245882,8.330955,9.001766,6.161193,6.08645,5.204962,5.359919,17.696262,20.885456,20.769215
"MSTRG.30969",7.124117,8.889662,6.570646,8.222828,6.862375,6.57648,2.752339,3.763973,2.533939,3.552806,3.832365,2.80827,3.059941,2.887975,4.297779
"MSTRG.30970",17.222314,18.392962,14.528698,14.87291,19.717793,23.250376,8.962052,14.563685,11.46802,19.339759,24.548033,20.350788,8.824758,10.376013,12.285711
"MSTRG.30971",5.691424,5.812353,3.499052,4.140923,5.991344,6.188348,1.422245,2.650241,1.362733,2.541365,2.562719,2.484968,6.150803,9.364582,7.380558
"MSTRG.30974",63.314544,72.088033,54.403588,60.254982,71.770542,74.400739,33.993959,46.777084,32.16007,16.027671,18.669477,18.08399,145.141366,149.206946,213.263427
