Numero de planta;Presencia T;Lectina;Dias de 1embra a emergencia ;Dias de emergencia a panojamiento ;N macollos 60 dias post emergencia ;N paniculas  60 dias post emergencia ;N macollos 90 dias post emergencia ;N macollos 120 dias post emergencia ;N paniculas 120 dias post emergencia ;PANOJA 1 Largo hoja bandera (mm);PANOJA 1 Ancho hoja bandera  (mm);PANOJA 2 Largo hoja bandera (mm);PANOJA 2 Ancho hoja bandera  (mm);PANOJA 3 Largo hoja bandera  (mm);PANOJA 3 Ancho hoja bandera (mm);N macollos 140 dias post emergencia;N paniculas 140 dias post emergencia; Diametro mata (cm) 140 dias post emergencia ; Altura de planta (cm) 140 dias post emergencia ;PANOJA 1 Longitud (mm);PANOJA 1 Tipo ;PANOJA 1 Po1cion ;PANOJA 1 Exercion ;PANOJA 1 N semillas llenas;PANOJA 1 N semillas vanas ;PANOJA 2 Longitud (mm);PANOJA 2 Tipo ;PANOJA 2 Po1cion ;PANOJA 2 Exercion ;PANOJA 2 N semillas llenas;PANOJA 2 N semillas vanas ;PANOJA 3 Longitud (mm);PANOJA 3 Tipo ;PANOJA 3 Po1cion ;PANOJA 3 Exercion ;PANOJA 3 N semillas llenas;PANOJA 3 N semillas vanas ;N macollos 180 dias post emergencia;N paniculas cosechadas totales ;Dias de emergencia a madurez de cosecha;Trillabilidad ;Cantidad de Gras pesados ;Peso de 100 gras (g);Peso total de gras por planta (g);N gras por planta ;TIPO
36;1; ;6;89; ;0;2;13;2;312;12;232;12; ; ;16;3;10.1;66.8;120;5;1;0;7;13;110;5;1;0;3;12; ; ; ; ; ; ;21;4;256;2;50;0.45;0.45;50;0
37;1; ;6; ;3;1;5;10;5;178;9;195;10;191;12;14;6;8.6;61.3;86;5;1;0;;;96;5;1;0;;;104;5;1;0;;;19;22;266;1;100;0.74;1.26;170;1
38;1; ;6;91; ;0;3;9;1;208;10; ; ; ; ;16;2;9.4;47.1;82;5;1;0;;; ; ; ; ; ; ; ; ; ; ; ; ;14;3;253;2;18;0.03;0.03;18;0
39;1; ;6;91; ;0;2;4;3;172;11;123;9;150;10;6;5;6;50.7;74;5;1;1;13;0;67;5;1;0;0;4;74;5;1;0;0;14;12;15;256;2;100;0.45;0.64;142;1
40;1; ;6;89; ;0;2;7;2;312;12;205;10; ; ;8;4;7;45.6;120;5;1;0;;;95;5;1;0;;; ; ; ; ; ; ;12;4;253;1;20;0.06;0.06;20;0
41;1; ;6; ;3;1;6;16;6;305;12;284;11;160;11;25;6;11.2;62.7;110;5;1;0;3;21;92;5;1;0;1;13;75;5;1;0;0;9;31;13;253;2;100;0.53;0.57;108;1
42;1; ;6; ; ;0;2;7;4;180;12;203;11;165;12;12;5;8.5;73.1;85;5;1;0;0;12;107;5;1;0;1;15;89;5;1;0;1;15;25;51;266;2;100;0.6;1.67;278;2
43;1; ;6; ;2;1;6;24;6;234;11;222;10;190;10;26;6;11.4;61.7;140;5;1;0;2;38;105;5;1;0;1;27;113;5;1;0;0;23;25;17;266;2;100;0.38;1.1;289;2
44;1; ;6;105; ;0;4;18;1;239;13; ; ; ; ;26;1;11.1;40.6;48;1;1;0;16;10; ; ; ; ; ; ; ; ; ; ; ; ;49;13;256;0;100;0.28;0.92;329;3
45;1; ;6;77; ;0;5;9;3;203;11;190;9;140;9;10;5;7.1;35.2;69;1;1;0;30;12;64;5;1;0;12;3;60;5;1;0;5;7;7;8;242;1;100;1.03;1.29;125;1
46;1; ;6;81; ;0;5;11;3;182;10;108;8; ; ;10;4;9.2;37.6;78;5;1;0;1;6;68;5;1;0;9;5;0;0;0;0;0;0;2;4;235;0;69;0.49;0.48;68;0
47;1; ;6;87; ;0;10;18;10;294;11;206;10;14;9;29;10;13.8;54.6;75;1;1;0;28;5;59;5;1;0;1;11;79;1;1;0;7;3;33;10;239;0;100;1.21;1.76;145;1
48;1; ;6;86; ;0;4;11;5;211;13;197;10;181;11;20;6;12.6;56.2;78;5;1;0;10;4; ; ; ; ; ; ; ; ; ; ; ; ;25;10;242;0;86;0.4;0.4;86;0
